season,week,rank,team,record,description
2023,14,9,Houston Texans,7-5,"They were bracing for the worst, having suffered their past three losses in heartbreaking fashion, and the Texansâ luck already felt gone after losing Tank Dell to what would be a season-ending injury . But Jimmie Ward âs game-clinching, final-minute, end-zone interception -- one of Houston's three critical picks Sunday -- clinched yet another dramatic victory , which is also something the Texans have come to know. The past five wins all came down to the wire in one-score games, so theyâve pulled out more close ones than theyâve not. Weâve touted other possibilities in this space, but DeMeco Ryans has to be among the favorites for Coach of the Year, right ? We know heâd love to do better offensively than 4-for-16 on third down and settling for three short field goals with a backup kicker. But the young Texans moved another step closer to the postseason, which seemed unimaginable even two months ago."
2023,14,10,Cleveland Browns,7-5,"We donât yet know Kevin Stefanskiâs plans at quarterback , but Joe Flacco played pretty well for a guy coming off his couch a few weeks ago. Flaccoâs bad pick started the avalanche that led to the Rams winning 36-19 , but it was a one-point Rams lead with less than seven minutes to go and the Browns potentially driving to take the lead. Dorian Thompson-Robinson is expected to be available for the Week 14 game against the Jaguars , but Flacco had the look (for most of the game) of a player equipped to handle a playoff-like atmosphere. The Browns are hanging on for their postseason lives right now, currently in the seventh slot ,. Clevelandâs defense, which has been mostly very good, arguably had its worst outing of the season Sunday. The Browns had better hope it was a one-game aberration, because they canât win without that part of the equation."
2023,14,11,Pittsburgh Steelers,7-5,"There have been numerous stretches where we've questioned whether the Steelers are truly a playoff team -- not whether they will get in, but whether they even deserve to. Following Sunday's shocking home loss to Arizona, the Steelers will be without starting QB Kenny Pickett for this Thursday's game against New England . He was knocked out in the second quarter Sunday with an ankle injury, but even prior to getting hurt, Pickett wasn't able to build on new play-caller Mike Sullivan's strong first outing the week before . Pittsburgh was also guilty of self-inflicted errors galore, including basic stuff like getting lined up correctly, before backup QB Mitch Trubisky's crippling fumble . Mike Tomlin has somehow led this team to 7-5, but it's hard not to get the smoke-and-mirrors vibe, especially with Pickett possibly set to miss multiple games . Heck, the Steelers have looked quite beatable with him."
2023,14,12,Buffalo Bills,6-6,"The Bills emerge from the bye still in the race but facing what could be two existential battles against playoff-caliber teams. First, they have to go to Kansas City and face the Chiefs , followed by a home game against the Cowboys . Two losses probably would sink Buffalo in a tight AFC field . Two wins would be a season-changer. A split likely extends the drama, but it doesnât change the heavy lifting still required to get in. Itâs too bad weâre at this point, because Josh Allen was the kind of player against the Eagles that weâve been waiting for him to be. Thatâs the Allen the Bills need down the stretch. The Billsâ injury-riddled defense doesn't appear to be the lockdown group it had been recently, and thatâs another reason to wonder if this miracle playoff run can even happen in the first place."
2023,14,13,Indianapolis Colts,7-5,"With Jonathan Taylor potentially set to miss multiple games , Indianapolis has to figure out its run game quickly. Zack Moss has done a pretty remarkable job replacing Taylor this season, but Sunday was a step back for the Coltsâ ground attack. They had a long run of 5 yards and averaged 2.4 yards per carry against the Titans . As a result, the Colts were 1-for-5 in the red zone, converting their first TD in that part of the field on the final play of the game . Gardner Minshew had a strong outing rallying Indianapolis, and Michael Pittman Jr. and Alec Pierce came up with some huge grabs in crunch time . The Colts deserve some credit for beating a division foe that was previously undefeated at Nissan Stadium, with the special teams as a huge catalyst , to extend their win streak to four games. But this was a little too close for comfort for an Indy team that lacks some tiebreakers and still needs to stack more wins to be safely in the playoffs."
2023,14,14,Green Bay Packers,6-6,"The season has been turned on its ear with Green Bay's statement victory over Kansas City , making it appear more likely right now that the Packers are in the playoffs than out, especially with a very favorable schedule down the stretch. Currently, theyâre slotted in the final NFC wild-card spot , with a tiebreaker over the Rams. Just think, the 2-5 Packers beating the 3-5 Rams in Week 9 is dictating the shape of the playoffs. Anyway, Green Bay is engineering a run (without David Bakhtiari or Aaron Jones ) behind Jordan Love âs emergence and a defense thatâs making timely stops. Turnovers tell a big part of the story. In the first nine games, Green Bay was minus-4 in turnover ratio. In the past three games? Plus-5. And to think, some Packers fans were warming to the idea of a Round 1 quarterback. Forget that for now. Love is here to stay."
2023,14,15,Seattle Seahawks,6-6,"The Seahawks' best offensive effort since arguably September was wasted when the defense essentially made one true stop during the game -- a third-quarter turnover on downs at the Seattle 30-yard line. Itâs hard to know where this team sits now, either offensively or defensively, because of the wild swings week to week and some lingering injuries. But the reality is this: After losing to the Cowboys , the Seahawks are 6-6, two spots out of the playoffs currently, with the 49ers (who dismantled the Seahawks on Thanksgiving) on tap in Santa Clara. After that, they host the Eagles , so this is going to be a mad dash for the playoffs, but one thatâs going uphill. Perhaps the return of Kenneth Walker III will help, and Geno Smith was clearly hurt last time against the 49ers (he looked far healthier against Dallas). So while thereâs playoff hope, Seattle might have to steal one against an NFC heavyweight to have a shot to get in."
2023,14,16,Denver Broncos,6-6,"Winning Sunday could have done such good for the Broncosâ playoff hopes, as they would have held tiebreakers over three of the teams theyâre jockeying with for wild-card spots. But Houston pulled it out late, dealing a blow to Denverâs chances. Late in the third quarter, it looked like the Broncos could eke out a victory after they had trailed 13-0 early. Russell Wilson suddenly was cooking, and the defense was lights out after a rough start, forcing four punts in five possessions. But Wilson threw the first of three picks in the final 16 minutes of play, with the last one coming in the end zone with a chance to win in the last minute. The defense put Denver in a hole early, and the offense couldnât quite pull it out late. The Broncos might need to go 4-1 down the stretch and get a little help to make the postseason now."
2023,14,17,Minnesota Vikings,6-6,"This week's post-bye game against the Raiders figures to have some real drama beyond whether Justin Jefferson plays or not. Thereâs a chance that head coach Kevin OâConnell could make a change at quarterback -- either before Sundayâs contest or during it -- given Joshua Dobbs â colossal struggles against the Bears in Week 12. At the very least, you can expect understudy Nick Mullens to be on ready-alert going into this game. Rookie Jaren Hall is back in the mix, too. This game -- and the stretch that follows -- not only will dictate whether the Vikings make the playoffs, but it likely will help determine the teamâs offseason plan at QB. Another concern: Can the offensive line, which has been a team strength, hold up down the stretch? It did not against Chicago."
2023,14,18,Cincinnati Bengals,6-6,"Maybe this is what happens when you hang out around Joe Burrow , but when did Jake Browning become a stone-cold killer? Time and time again Monday night, while Browning was dicing up the Jaguars , I kept thinking how relaxed the guy looked. I was ready to rip Zac Taylor for the disastrous Tyler Boyd trick-play turnover , which was a bad idea from the start. But it was about the one time in the second half Taylor didn't put the ball in Browning's hands and ask Burrow's replacement to win the game for him. Browning delivered in big way, completing a stunning 32 of 37 passes (with at least one clear drop) for 354 yards, notching a TD running and passing in the overtime win . The Bengals' playoff chances went from miniscule to merely remote, thanks to an incredible performance from Browning in his second NFL start. Wow."
2023,14,19,Atlanta Falcons,6-6,"The Falcons left Gotham as the sole first-place team in the NFC South, which is the obvious good news. The bad is that the offense took a step backward, gaining just 194 total yards against the Jets , with 11 of their 14 possessions failing to travel more than 14 yards. They endured five three-and-outs, and two possessions lost yardage -- including the first-quarter safety that put Atlanta in an early 2-0 hole. The fact that the Jets lost the turnover battle 3-0 but had the ball at gameâs end with a chance to win tells you everything you need to know about the Falconsâ scoring issues. And itâs not just about yards. They have as many 400-yard performances as the Eagles do this season ... but have yet to top 28 points. Even the Patriots have scored more in a game. Can Atlanta survive winning games this way? Its recent losses to teams such as Washington , Tennessee and Arizona suggest itâs not likely."
2023,14,20,Los Angeles Rams,6-6,"The topsy-turvy season took a turn for the positive with Sundayâs victory over the Browns . Thatâs now three straight wins (after three straight losses), and the Rams are all squared at 6-6. Nothing has been easy for this team this season, except for perhaps the adjustment of Puka Nacua to the NFL. After a few quieter outings in recent games, the rookie receiver fought through cramps and a rib injury Sunday to cross the 1,000-yard mark for the season, with four catches for 105 yards and a 70-yard TD , plus a 31-yard run that led to the go-ahead score. So here the Rams are with Nacua, Kyren Williams and Demarcus Robinson playing key offensive roles late in the season, and the playoffs still look well within reach, even with tough road games at Baltimore and San Francisco remaining."
2023,14,21,Los Angeles Chargers,5-7,"In the most Chargerian development imaginable, just as the defense has made admirable strides in recent games, the once-prolific offense has hit the skids. The formula worked, producing a surprising road shutout (the franchiseâs first since 2017), but the teamâs identity shift is pretty on brand. In Week 10, the Chargers and Lions combined for 954 yards in L.A.âs 41-38 loss . Since then, the Chargers have scored 20, 10 and six points ... while allowing 23, 20 and zero. The Patriots are a bad offensive team, but letâs not forget the Chargers held down the Ravens and Packers pretty well prior to that. What this means for the Bolts long-term is hard to say, but itâs pretty fitting that even in victories, this team has a hard time playing complete games where all three units acquit themselves well."
2023,14,22,New Orleans Saints,5-7,"It seems clear Saints fans havenât quite warmed up to QB Derek Carr yet, and Sunday was a fascinating case study of that relationship. Carr started slowly, and though his interception went off the hands of Juwan Johnson , Saints fans booed Carr anyway. Then he got hot, hitting 15 straight passes beginning in the second quarter, helping cut a 24-7 deficit to 24-21 during a third-quarter flurry. But when Carr lost a fumble on a poor center exchange, the fans booed more. He left the game a few minutes later with injuries, and Jameis Winston gave the Saints a chance to win it late, but quarterbacking wasnât the only factor here. The Saintsâ defense, once the teamâs unquestioned strength, now is a question mark, as the Lions flexed their muscles often against that group."
2023,14,23,Tampa Bay Buccaneers,5-7,"Do we appreciate Mike Evans enough? I mean, do we seriously grasp what kind of career heâs had? At some point Sunday , I saw a highlight of Evansâ 75-yard catch , with the announcer noting: âAnd heâs only 30 years old!â Look, I am pretty good with NFL playersâ ages, but how is a man with a decadeâs worth of consecutive 1,000-yard seasons only 30?! It defies logic. Randy Moss is second, with six straight such seasons to start a career. Up next for Evans is Jerry Rice, who holds the all-time mark with 14 1,000-yard receiving seasons. Come rain or shine, whether his team is in the postseason or not, the man always delivers. Heâll have a chance to keep Tampa Bay in the playoff race this Sunday in Atlanta . With the Bucs' defense thinned by injury and looking vulnerable at times, it might be up to Evans and the offense to shoulder the load."
2023,14,24,Las Vegas Raiders,5-7,"Aidan OâConnell still has the chance down the stretch to audition for the starting job next season, but through five starts, the fourth-round pick hasnât exceeded the level of play that Jimmy Garoppolo displayed this season, and Garoppolo was benched. Granted, thereâs a sliding scale for rookies, I assume, but you really canât rule out the idea of Antonio Pierce going back to Garoppolo if OâConnell doesnât improve. Pierce is trying to become the rare interim who keeps the job going forward. That means he needs to win games. The Raiders' last interim coach, Rich Bisaccia, went 7-5 two years ago after Jon Gruden was fired and led the Raiders to the playoffs, nearly stunning the Bengals on Super Wild Card Weekend -- but Bisaccia didnât earn the full-time gig. Right now, Pierce is 2-2 with a fairly challenging final five games remaining."
2023,14,25,Chicago Bears,4-8,"The Week 12 effort against Minnesota was commendable for a team that looked completely adrift in September. The franchiseâs three big pillars -- Justin Fields , Matt Eberflus and Ryan Poles -- have been putting in work. Fieldsâ return from injury was delayed, but it bore fruit with the win over the Vikings , even if his two fourth-quarter fumbles made it harder. Eberflus has led the Bears to a 4-4 record and a positive point differential over the past two months, following an 0-4 start. Poles acquired and wisely extended DE Montez Sweat , who is now second on the team in sacks in only four games. Will the final five games dictate the future path of the franchise? It feels that way."
2023,14,26,Tennessee Titans,4-8,"Though the Titans are 4-8, Sunday's loss was pretty momentous, given that it was their first true home L of the season, several Tennessee players were hurt during the game and the special teams coordinator lost his job the following day. Injuries to three relatively irreplaceable standouts (DT Jeffery Simmons , RB Derrick Henry and P Ryan Stonehouse ) during the game turned a possible win into an overtime defeat. While Henry and Simmons may have avoided serious injury, the Titans' fate appears sealed; even if they were to rip off five straight wins to close the season, they wouldn't be guaranteed a playoff spot . Questions now linger about the futures of Henry, Mike Vrabel and others in Tennessee. There's also still the matter of determining Will Levis ' upside heading into the offseason, which will be crucial for this suddenly reeling franchise."
2023,14,27,New York Jets,4-8,"When Aaron Rodgers said last week that it "" wouldn't make sense "" for him to attempt a late-season return if the Jets weren't contending, Sunday's matchup with the Falcons became the first of several must-win games -- and the Jets proceeded to lose, 13-8. It was the third defeat this season in which they held their opponent to 16 points or fewer, and it was their fifth straight loss overall after a 4-3 start. There are no signs Rodgers will start in Week 14 against the Texans, but a fourth Jets QB could. Trevor Siemian came in for an ineffective Tim Boyle and nearly matched Boyle's ineffectiveness. The Jets haven't officially been eliminated from a wild-card spot, but ... yeah, don't assume Rodgers is coming back to rescue this season. EDITOR'S UPDATE: NFL Network Insider Tom Pelissero reported on Tuesday that the Jets are releasing Tim Boyle and signing quarterback Brett Rypien off the Seahawks' practice squad."
2023,14,28,New York Giants,4-8,"Rolling into the Week 13 bye with two straight victories made this a relatively quiet break by New York standards, but itâs not as if there arenât things to figure out by seasonâs end. First, the Giants have to decide whether to go with Tommy DeVito or Tyrod Taylor at quarterback now that Taylor has returned from IR . Then thereâs the state of the offensive line. The return of LT Andrew Thomas has given the team a lift, but it hasnât resulted in a huge offensive boost, and DeVito is still being sacked every five dropbacks or so. The Giants would love nothing more than for RT Evan Neal to show something down the stretch. Heâs been a liability at times when heâs played and seems like a possible candidate to kick inside if he doesnât improve as a pass blocker on the edge. EDITOR'S UPDATE: Giants coach Brian Daboll announced Tuesday that Tommy DeVito will remain the team's starter for Monday's game against the Packers ."
2023,14,29,Arizona Cardinals,3-10,"I admittedly did not think the Cardinals would just coast into their bye with a statement victory at Pittsburgh , but here we are. The game gives us another chance to praise Jonathan Gannon and the effort heâs coaxed out of this team. There have been significant tests along the way, and losing six straight in the middle of a season could break any teamâs spirit, no matter how young it is. That hasnât happened in Arizona, and it didnât happen on the road in a tough environment -- with two weather delays, to boot -- against a team scrapping for the playoffs . If Kyler Murray remains the Cardinals' quarterback next season, he might have something special brewing with security blanket Trey McBride . The tight end was a massive factor in the 99-yard, go-ahead TD drive and is heating up in Year 2 as one of Murrayâs most trusted targets."
2023,14,30,Washington Commanders,4-9,"Not too long ago, Sam Howell was looking like a pretty nice (and cost-effective) building block for the Commanders. And then he went out and threw a pick-six in three straight games, all Washington losses. Howell has only recorded one TD pass in that span, too, while Washington has fallen to 1-5 at home. Howell's athleticism, toughness and big-play ability are high notes in his game, but the turnover-worthy plays and sacks taken are just too plentiful now and must be weeded out next season, no matter who his coaches or teammates are. That's not excusing Washington's bad offensive line or the defense for putting Howell in some really tough spots, but it is the kind of stuff that could prevent him from nailing down the starting job for 2024 and beyond."
2023,14,31,New England Patriots,2-10,"The Patriots have held seven opponents to 24 points or fewer this season -- and they only won one of those games. That's not even the most amazing statistic related to this team's offensive stagnation. In their past three games, the Pats held each opponent to 10 or fewer points -- and they lost all three. Meanwhile, in Week 13 alone, three other NFL teams won games in which they allowed 28 points or more . At this point, it feels like you could put Mac Jones , Bailey Zappe , Malik Cunningham or even Steve Grogan out there at quarterback, and it likely wouldn't make a difference. Rhamondre Stevenson was hurt Sunday, and New England is already without multiple receivers, so a bad situation has somehow gotten worse. Even by early-1990s standards, this Patriots season has been dreadful."
2023,14,32,Carolina Panthers,1-11,"The Panthers became the first NFL team to be officially eliminated from postseason play, and you're now free to pour one out for them. Carolina actually led late in the third quarter Sunday -- for all of 10 game seconds -- before the Bucs hit the gas and took control. Like the Patriots, the Panthers have been in a season-long offensive slog. Unlike New England, however, Carolina remains clearly and deeply invested in its young quarterback. The remainder of the Panthers' season should be spent trying to build up Bryce Young 's confidence and effectiveness, with an eye on 2024 being his breakout year. Carolina can also try to play spoiler down the stretch, with games against all three NFC South opponents, plus the Packers and Jaguars, remaining on the schedule . Without a 2024 first-round pick on the horizon, the Panthers might as well go out and try to upset the apple cart."
2023,15,1,San Francisco 49ers,10-3,"The funny thing about Sunday's double-digit win over the rival Seahawks? San Francisco's offense was actually very hot and cold, looking mortal for stretches and then, BOOM! Someone just busts off a big play, and all is right in the 49ers' world. Brock Purdy held everything together. His INT could be blamed on Brandon Aiyuk , who also had a fumble later ... though the stud wideout did chip in 126 receiving yards. In fact, all of the Niners' top playmakers put up numbers, and Purdy's 54-yard TD pass to Deebo Samuel should end the silly narratives around the quarterback's downfield passing ability. If there was a worry coming out of the game, it was the shape of the defense. CB Charvarius Ward (groin), DT Javon Hargrave (hamstring) and LBs Dre Greenlaw (hip) and Oren Burks (knee) all left the game, with only Greenlaw re-entering. San Francisco was already playing without DT Arik Armstead , so if you're looking for an Achilles' heel on this juggernaut -- with Baltimore on tap in two weeks -- it might be this."
2023,15,2,Baltimore Ravens,10-3,"Lamar Jackson 's MVP campaign isn't hurting after his heroic effort against the Rams , which included a thrilling TD drive (with the scoring pass going to rookie WR Zay Flowers ) and successful two-point conversion (also thrown to Flowers ) to give the Ravens a late lead, before Tylan Wallace's pinch-hit punt-return TD ultimately sealed the deal in overtime. With the win and Miami's loss on Monday night, Baltimore owns the AFC's No. 1 overall seed while also leading the AFC North by two games, though Sunday wasn't easy. In fact, that was arguably the most this Ravens defense has been stressed all season -- as evidenced by the 37-31 final -- but there were enough big plays on that side not to stress too much about a unit that has played far more good football than bad. And Jackson helps widen the margin for error when he plays like he did in Week 14, stinging the Rams time and time again with his legs and arm. One way or another, we badly need a Joe Flacco -Lamar Jackson showdown in the playoffs. If the NFL scriptwriters are any kind of benevolent folk, they'll ensure this happens."
2023,15,3,Dallas Cowboys,10-3,"For a guy who was on the operating table a few days before, Mike McCarthy looked pretty healthy loping over to call timeout prior to the touchdown that gave Dallas a 24-6 halftime lead over rival Philadelphia. McCarthy called all the right shots in that opening half Sunday night, converting on a 60-yard field goal in the first quarter and successfully pulling off the rare TD-notching challenge at the goal line in the second quarter. Things simmered down after that, but in the end, the Cowboys sent a big message that they are indeed serious contenders for both the NFC East crown and the No. 1 overall seed in the NFC playoffs. This was the quality victory Dallas needed, but the next two are at Buffalo and at Miami , so the work isn't yet done, especially with the Eagles' remaining schedule a lot more favorable."
2023,15,4,Philadelphia Eagles,10-3,"Save for the end-of-game kneeldown by San Francisco in Week 13 , Philadelphia's defense allowed points on 10 consecutive drives (nine TDs and one field goal) for a stretch over the past two games. The Eagles gave themselves life in the third quarter against the Cowboys on Sunday night , forcing a Dak Prescott fumble and returning it for a touchdown . But Dallas had three takeaways of its own, stripping the Eagles' three best offensive playmakers: Jalen Hurts , A.J. Brown and DeVonta Smith . In the first meeting with the Cowboys, the Eagles fumbled three times ... but recovered all three, allowing Philly to escape with a 28-23 win . Pummeled in the past two weeks, though, the Eagles are suddenly in danger of letting the division (and the No. 1 seed ) go to someone else. A year ago, the Eagles were playing their best ball with the playoffs looming. Now, they're just trying to weather the team's gauntlet of a schedule and get to the tournament. As things stand at the moment, they'd have to go to some southern city for the first round of the playoffs."
2023,15,5,Miami Dolphins,9-4,"For months, we've complained about the Dolphins not beating any quality teams. Now we can ding them for their stunning home loss to the Titans, who entered Monday with an 0-6 road record. Tyreek Hill 's ankle injury kept him off the field for a large chunk of the game, and Miami also lost C Connor Williams to a knee issue. But there's no excuse for losing to Tennessee after holding a 14-point lead with three minutes to go at home. The Dolphins' offense was just in a funk most of the night, factoring in the two gift touchdowns the Titans gave them via a muffed punt and a fumble . A Miami fumble and two field goals led to a 2-for-5 red-zone night, and the Dolphins had another field goal blocked . Then the Fins' defense, which had been so good all night, cracked on the final two drives, allowing Will Levis to march the Titans 75 and 64 yards to outscore Miami 15-0 in the final 160 seconds. It was just an ugly, ugly loss and a huge blow to the Dolphins' chances of earning the top seed ."
2023,15,6,Kansas City Chiefs,8-5,"When was the last time you heard Patrick Mahomes or Andy Reid challenge an official's (correct) call after a loss like they did on Sunday ? It felt strange, seeing two of the NFL's best competitors say that the referee needed to warn Reid about Kadarius Toney lining up offside when, really, the onus was on Toney to check with the line judge on that one. You want to gripe about the lack of a call late against the Packers? Be my guest. Have at it. But Sunday's grievance felt desperate and petty for a team that has been the league's preeminent organization over the past five years. To Reid's credit, he reversed course on Monday , saying it was indeed Toney's responsibility to check with the official. The bottom line is that Kansas City's problems go far beyond a few unfavorable calls here and there. Mahomes' opening-drive pick killed a promising march, and the reigning MVP's just not playing great ball right now. Neither is a defense that had carried this club for much of the season. The way things are trending, Mahomes might be staring at his first road playoff game."
2023,15,7,Detroit Lions,9-4,"Even at 8-2, the Lions gave us plenty of reasons to be concerned, from Jared Goff 's turnovers to the offensive line injuries and general defensive issues -- and none of those things have gotten better in the three games since. At 9-4, Dan Campbell's team is almost assured of earning a playoff bid, but Detroit logging its first postseason win since January of 1992 feels less likely by the day. There are still reasons for hope, and winning the division would help immensely, giving the Lions home-field advantage for at least one game. But they have allowed 26 or more points in five straight games and six of the past seven, struggling mightily with mobile quarterbacks throughout the season. When you look at the potential NFC playoff field, this is obviously a problem. The Lions need to find late-season answers in a hurry. Detroit looks nothing like it did earlier in the year."
2023,15,8,Cleveland Browns,8-5,"Joe Flacco went 18-3 against the Browns. For the Browns, he's now 1-1 with a tough loss that was much closer than the final score suggests. And Cleveland's going to ride him until the wheels fall off after the 38-year-old led four TD drives -- one in each quarter -- and the late field-goal march to seal a massive win over Jacksonville. His arm strength and touch on downfield passes have unlocked a chapter of the Browns' playbook that was too often overlooked this season. Flacco did turn the ball over twice with 14-point leads, possibly costing his own team points on both possessions, and Amari Cooper coughed up a fumble , too. But the Browns forced four Jaguars turnovers, converting the last two into second-half touchdowns. Even without star CB Denzel Ward , Cleveland's secondary stepped up, forcing three interceptions ( two by Martin Emerson Jr. ) and 22 incomplete passes -- with Browns defenders getting their hands on 10 of those throws. The playoffs look very likely, although all four remaining opponents continue to play hard and will be tough outs."
2023,15,9,Jacksonville Jaguars,8-5,"The Jaguars' defense is reeling, having allowed backup quarterbacks to dice them up two weeks in a row. First it was Jake Browning ; then Joe Flacco had his way with Mike Caldwell's defense. Outside of the strip sack , Jacksonville's pass rush was disappointing on Sunday, pressuring Flacco 12 times and hitting him thrice on 45 dropbacks. Sadly, the coverage and tackling were possibly worse. The offense certainly shares the blame with four turnovers, even though Trevor Lawrence gamely gutted through Week 14 with an ankle injury that many of us assumed would keep him out -- possibly for multiple weeks. But the QB's lack of chemistry with Calvin Ridle y (four catches on 13 targets) and Zay Jones (five on 14 targets) hurt the team, as did Doug Pederson's hyper-aggressive game-management approach late. As is the case with many other AFC teams, the Jaguars' postseason picture has changed dramatically in a matter of just two weeks, even with the Colts and Texans also losing Sunday."
2023,15,10,Buffalo Bills,7-6,"They might remain 11th in the AFC playoff pecking order , needing to pass four teams ahead of them right now, but the Bills remain a viable playoff contender at 7-6. Yes, Buffalo hosts red-hot Dallas this coming Sunday , must go on the road twice more and still has to face the Dolphins and Patriots, who beat the Bills in their first meeting . But the Bills earned a win at Arrowhead with Stefon Diggs having a poor outing by his standards (four catches, 24 yards) and with the defense being able to finish off the game, something it hasnât always done this season, even if it required a penalty to wipe out a Chiefs touchdown in the final minute-plus. Thereâs plenty to gripe about, but Josh Allen made some big throws and James Cook carried the offense with a strong effort. Fifteen touches for the second-year back feels too low; Cook needs 20 per game. The Bills are far from perfect, but they remain dangerous."
2023,15,11,Denver Broncos,7-6,"Somehow, some way, the Broncos only trail the Chiefs by one game in the AFC West -- and now, this Saturday's matchup in Detroit might not be as rough a road test as it might have looked a few weeks ago. Denver's defense took a tiny step back in the Week 13 loss to the Texans, but the Week 14 win over the Chargers was a huge statement performance. The Bolts turned the ball over twice, were stopped five times on fourth downs and were 0 for 12 on third downs, as Justin Herbert was knocked out of the game . The offense overcame some challenges, including a pick on Russell Wilson 's first pass of the game (which was actually Marvin Mims ' fault). That was the Broncos' first true turnover on an opening drive this season. They've mostly been very good, which makes their first-drive-of-the-second-half struggles perplexing. But otherwise, this team has been sneaky dangerous for a while, even if a lot of folks aren't ready to admit it."
2023,15,12,Houston Texans,7-6,"The Texans started Sunday without WR Tank Dell , TE Dalton Schultz and OT Tytus Howard ... and then left a 30-6 loss to the Jets with injuries to QB C.J. Stroud and WR Nico Collins . It was an all-around awful day for a team that has managed to avoid those most of the season. Houston has lost two of its last three games, making the road to the playoffs that much harder. The fact that Jacksonville and Indy also lost was a saving grace, but the Texans' injury situation clouds the forecast for this Sundayâs game in Nashville. This was the worst Houston looked offensively all season -- or, at the very least, since Week 1. The Texans' defense has been on its heels at times, but coming off a strong showing against the Broncos in Week 13, that unit should have played better against a Jets offense that hadnât looked very good over the past few months. Houston has shown ample improvement this season, but the young team could miss the playoffs now."
2023,15,13,Cincinnati Bengals,7-6,"The Bengals dominated a game against a playoff contender, and Jake Browning once again was terrific overall, even taking into account a poor pick-six that briefly gave the Colts life just before halftime. Browning has now led Cincinnati to two consecutive 30-point showings, which even Joe Burrow didn't manage to do this season. The return of Tee Higgins has clearly helped, but he and Ja'Marr Chase combined for just five catches Sunday. The Bengals leaned on a terrific screen game and continued to get tight end Tanner Hudson involved, as Browning connected on 18 passes to nine different pass catchers. It was also a good day for a beat-up Cincy defense, which may have had its best showing since October. That group entered the game 32nd in yards allowed per game, but kept the Colts to two gains longer than 16 yards on Sunday."
2023,15,14,Pittsburgh Steelers,7-6,"The Steelers made history on Thursday Night Football when they completed a two-game homestand of defeats against teams with 10-plus losses, according to NFL Research . On Sunday, they were rewarded by being bumped back into the playoff field -- for now, anyway. The Colts and Texans losing pushed the Steelers into the top seven on the AFC side, but those three are only half of the AFCâs six 7-6 teams currently. If thereâs a silver lining to the big picture, itâs that at least three of those teams are without their original starting quarterback now. The fact that Mitch Trubisky struggled the way he did against New England , compelling Steelers fans to demand an expeditious Kenny Pickett return, shows the level of desperation. Pittsburgh's playoff viability likely depends on the next two games, against the Colts and Bengals ."
2023,15,15,Indianapolis Colts,7-6,"Facing a Bengals team that had struggled to pass protect and stop the run coming in, the Colts figured to have a pretty good matchup as they continued their run for the postseason . But Indianapolis' pass rush and run game were nowhere to be found in Cincinnati, and the Colts committed a slew of unforced errors in the blowout loss . Indianapolis kept Bengals RBs Joe Mixon and Chase Brown more or less under wraps as runners, but each of them ripped off killer long screens . There were also special-teams gaffes that cost the Colts, including missed field-goal and extra-point tries and a muffed punt that led to a Cincy field goal. This is exactly the kind of sloppy ball that will leave you home come playoff time. Still, Indianapolis' schedule lines up pretty well, and the roster will be reinforced by the return of injured players. Will it be enough?"
2023,15,16,Green Bay Packers,6-7,"After all the highs of the previous three weeks, the Packers turned back the clock Monday night, reprising the kind of Jordan Love performance that had fans pulling their hair out before his recent hot streak. Entering the contest riding a three-game stretch of turnover-free football, Green Bay gave it up three times, with Love fumbling and throwing a pick in consecutive possessions. The quarterback was just in a funk most of the night, making some poor decisions and missing throws, leaving a lot of points on the field. Keisean Nixon's muffed punt in the third quarter set up a Giants TD , putting the Packers in chase mode. Love responded with two brilliant throws to Malik Heath late to take the lead, but the Packers' defense couldn't stop the Giants with less than two minutes left. How Green Bay didn't sack Tommy DeVito once is anyone's guess; Big Blue gave up an average of seven per game in the previous four."
2023,15,17,Minnesota Vikings,7-6,"Kevin O'Connell did not pull the bye-week trigger on a quarterback change -- but by the fourth quarter against the Raiders on Sunday, he'd seen enough, benching Joshua Dobbs for Nick Mullens . And it worked -- kinda. Mullens was a more efficient thrower down the stretch, and a field goal was all Minnesota needed in a 3-0 win . KOC now faces an interesting decision: Go back to Dobbs or give Mullens a shot? Like any good coach, he kept his options open, saying they're ""a week-to-week offense at this point,"" which is especially true with Justin Jefferson hurt again . But boy, this Vikings' defense is out to prove something. Ever since the Week 5 loss to the Chiefs, Brian Flores' group has been lights out. Shutouts are pretty darned rare; Minnesota's was just the fifth in the NFL this season, and there were only four in 2022. For that, the Vikings remain fascinating, warts and all. EDITOR'S NOTE: The Minnesota Vikings will start quarterback Nick Mullens against the Bengals on Saturday, NFL Network Insiders Ian Rapoport and Tom Pelissero reported Tuesday."
2023,15,18,Tampa Bay Buccaneers,6-7,"Thatâs now two straight wins for the intrepid Buccaneers, living up to their name. They seldom make it easy, but somehow, Tampa Bay remains in the running for a home playoff game . Baker Mayfield had less than 100 yards passing heading into the fourth quarter, but he threw two TDs and led three second-half scoring drives to help the Bucs take control of the game late. Mayfield owed a debt of gratitude to the defense and special teams for keeping Tampa in the game, notching a safety while also forcing a near pick-six and two missed field goals in the first half. The defense suffered a few coverage busts, but made enough big plays to beat Atlanta and keep the season alive. The Bucs' chances of winning the division would have plummeted with a loss. Much left to do, but it was a critical step."
